,title,topic,topic_keywords
358,Paralyzed Patients Speak Again Thanks to AI-Powered Brain Implants | Efforts to restore speech to people silenced by brain injuries and diseases have taken a significant step forward.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
359,"Scientists developed an invisible tagging system called BrightMarker, which embeds fluorescent tags into objects that can be viewed and tracked through an infrared camera.",10,"wearable, clothing, fabrics, smartphone, liquid, smart, tech, micro, affordable, adaptive"
360,Researchers Develop Arrays of Tiny Crystals That Deliver Efficient Wireless Energy,-1,
361,Tiny faux organs could crack the mystery of menstruation. Researchers are using organoids to unlock one of the human body’s most mysterious—and miraculous—processes.,16,"heat, cooling, material, energy, developing, exposure, extreme, temperatures, 50, effective"
362,"Communication using thought alone? Unbabel unveils AI project to give us superhuman capabilities | The language translation startup has linked a wearable device to Generative AI, helping unlock ALS patients, and more",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
363,"Fiber Optic Cables Are Natural Earthquake Detectors. Optical cables could give early warnings through dense, low-cost arrays.",-1,
364,CATL's EV battery Shenxing offers 250 miles in 10 minutes | The Chinese manufacturer will put it into production immediately and make it available for users early next year to increase EV adoption.,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
365,Scientists recreate an iconic Pink Floyd song by scanning listeners' brains | The research looked at how brains interact with music.,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
366,"New silicon-based ""metasurfaces"" can rapidly detect toxins, viruses, cancer, and other diseases | A biochip with wondrous diagnostic capabilities, seemingly ready for commercialization",-1,
367,Apple is already using its chatbot for internal work,-1,
368,"U.S., Japan to develop hypersonic missile interceptor",14,"drugs, body, lower, filled, patch, blood, push, deliver, inspired, ultrasound"
369,"Nvidia aims to captialize on generative AI growth with launch of new Grace Hopper super chip, world's first with HBM3e RAM",0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
370,"What started out as trying to create soft, simulated organs for medical devices & surgical robots, gave us a touch-sensitive, shape-morphing 3D display. This device is about as big as a board game, can create pop-up patterns, manipulate objects across its surface, & shake a beaker of liquid.",-1,
371,High-tech inks let anyone draw stretchable LEDs with a ballpoint pen,-1,
372,Chip implants get under your skin so you can leave your keys at home,12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
373,New high-tech microscope using AI successfully detects malaria in returning travelers | Researchers have tested the accuracy of an automated microscope combined with AI software to identify malaria parasites in blood samples,7,"nuclear, fusion, built, student built, japan, medicine, plasma, reality, student, uk"
374,Liquid-Metal Battery Will Be on the Grid Next Year. The molten calcium-antimony design promises low cost and long life.,3,"robot, robots, shape, fires, fight, carry, flying, soft, sized, robotic"
375,Cruise begins testing self-driving vehicles in Atlanta,-1,
376,US scientists repeat fusion ignition breakthrough for 2nd time,6,"quantum, computer, physicists, photonic, kind, end, useful, chip, computing, 000"
377,Studying climate change with an ice radar drone. This budget system probes beneath the ice to discover its secrets.,14,"drugs, body, lower, filled, patch, blood, push, deliver, inspired, ultrasound"
378,ISS Experiment Hopes to Develop Air Conditioning for Future Habitats on Other Worlds. The experiment will help scientists determine the effects of microgravity on boiling and condensation.,-1,
379,This bioelectronic device lets scientists map electrical signals of the Venus flytrap,-1,
380,China uses 5G robot to do remote eye surgery from 350 miles,-1,
381,Experimental insulin implant uses electricity to control genes,12,"3d, printing, 3d printing, printed, 3d printed, tissue, brain, skin, blades, researchers"
382,"Jiva Materials makes printed circuit boards (PCBs) from natural fibers encased in a non-toxic polymer that dissolves in hot water. That leaves behind whole components previously soldered onto the board, which should be easier to recover.",8,"vaccines, gene, viruses, including, microscope, dna, treatment, range, cell, cancer"
383,AI-powered brain implant restores a paralyzed man’s ability to feel and move,0,"scientists, cells, space, tech, sensor, nasa, tiny, cancer, new, use"
